Product,Price,Rating,Location,Sales
"asus Vivobook 15 X1502ZA i5 1235 8GB 512G ssd W11 15.6"" fhd IPS",Rp8.649.000,5.0,Jakarta Utara,Terjual 10
laptop ex display pajangan toko istimewa windows asli dijamin like new,Rp3.975.000,5.0,Surabaya,Terjual 100+
ACER NITRO 5 AN515 58 55E6 - GEN 12 I5 12500H 8GB 512SSD RTX3050 144HZ,Rp13.399.000,4.9,Jakarta Utara,Terjual 100+
LENOVO IDEAPAD 1 SLIM 1 INTEL N4020 4GB 64GB WINDOWS10,Rp3.360.000,4.9,Surabaya,Terjual 100+
"ACER ASPIRE 3 Slim A314-35 N5100 8GB/4GB 256GB SSD UMA 14"" W10 OH",Rp4.749.000,4.9,Jakarta Pusat,Terjual 250+
"LENOVO IDEAPAD D330 N4020U 8GB 128GB 10.1""TOUCHSCREEN WIN10",Rp3.699.000,5.0,Jakarta Barat,Terjual 100+
DELL INSPIRON 5410-i51155G7-8-512-U-W11-F-O,Rp 12.999.000,5.0,,Terjual 10
DELL INSPIRON 5510-i511320/11300-8-512-U-W11/W10 - 11320H/11300W11,Rp 11.999.000,4.9,,Terjual 100+
DELL INSPIRON 5410-i51155G7-8-512-D-W11-F-O,Rp 13.999.000,5.0,,Terjual 4
Laptop Lenovo Thinkpad X250 i5 Gen 5 | 8GB | 512GB,Rp1.950.000,5.0,Jakarta Pusat,Terjual 6
"ASUS VivoBook 14 A409MA-HD421 / HD422 [256GB/4GB/15.6""/W10 Home+OHS]",Rp4.449.000,,Jakarta Utara,
MacBook Pro Retina 13 inch Late 2013 Mulus Normal,Rp5.715.000,5.0,Jakarta Selatan,Terjual 2
(RESMI IBOX) MacBook Air M2 2022/2023 256GB 512GB Chip Terbaru M2,Rp12.429.000,5.0,Jakarta Barat,Terjual 750+
LENOVO ThinkBook 14s Yoga ITL i7-1165G7 1TB SSD 16GB Iris Xe Win10+OHS,Rp16.799.000,5.0,Jakarta Barat,Terjual 100+
HP VICTUS 15 FA0116TX - GTX1650 I5 12500H 8GB 512SSD W11 15.6FHD 144Hz,Rp10.174.000,5.0,Jakarta Utara,Terjual 100+
"ASUS Vivobook 14 A1400EA i3-1115G4 512GB 14"" FHD Intel® UHD W11 OHS",Rp5.989.000,5.0,Jakarta Pusat,Terjual 100+
Lenovo Ideapad Slim 3i Intel Celeron N4020 4GB 256ssd W10 FREE OFFICE,Rp4.299.000,5.0,Jakarta Utara,Terjual 100+
"LAPTOP ASUS A416JA i3-1005G1 4GB 512GB SSD INTEL UHD 14"" WIN10",Rp5.799.000,5.0,Jakarta Barat,Terjual 100+
"Laptop HP 14s dk1507AU Athlon Silver 3050U 4GB DDR4 512ssd 14"" OHS W10",Rp4.969.000,4.9,Jakarta Pusat,Terjual 100+
LAPTOPhp 14 INTEL CORE I3 4GB/1TB - 500gb,Rp 3.700.000,,,
Laptop Hp 14-DK0073AU Amd A4 4/1tb W10,Rp 3.500.000,5.0,,Terjual 4
LAPTOP HP 14 N3060 4/500gb W10 - 500gb,Rp 2.900.000,5.0,,Terjual 21
DELL INSPIRON 14 CORE I3-5500 DUAL VGA RAM 4 GB HDD 500 GB LAYAR 14,Rp2.300.000,,Depok,
"LENOVO THINKBOOK 14 G2 AMD RADEON R3-5300U 4GB 256GB 14"" FHD W11H+OHS",Rp6.999.000,,Jakarta Pusat,
"Dell Vostro 3510 Core i3-1115G4 8GB/256GB SSD/Win11H+OHS/15.6""FHD/1YR",Rp6.475.000,5.0,Jakarta Pusat,Terjual 2
Laptop HP 14s-dq2614TU/Core i3/4 GB/SSD 512GB/ W11,Rp6.119.000,4.9,Jakarta Utara,Terjual 250+
Macbook pro 2018 core i9 2.9 GHz 15 inch TouchBar 32GB SSD 1TB,Rp14.000.000,4.5,Tangerang,Terjual 2
Lenovo Thinkpad X260 Ci5 Gen6 Ram 8GB Hdd 500GB - Win10,Rp1.900.000,5.0,Jakarta Pusat,Terjual 250+
Asus Vivobook L510MA N4020 4GB 128ssd W10+OFF365 1YR 15.6FHD NUMPAD,Rp3.999.000,5.0,Jakarta Selatan,Terjual 100+
"LENOVO GAMING 3i - I5 12500H 8GB 512SSD RTX3050 15.6""FHD 165Hz 100SRGB",Rp13.649.000,5.0,Jakarta Utara,Terjual 100+
[RESMI] Apple MacBook Air M1 Chip 2020 256GB 512GB Garansi Resmi 1 Thn,Rp12.294.000,5.0,Jakarta Barat,Terjual 100+
Acer Aspire 5 Slim A514 54 33WF i3-1115G4 4GB 512GB 14HD FREE Office,Rp7.199.000,5.0,Jakarta Selatan,Terjual 100+
"Laptop Lenovo X1 Carbon 4th Core i5/i7 Murah dan Bergaransi - i5.6 Japan Ver, 8/256",Rp 3.500.000,5.0,,Terjual 30+
"Laptop Lenovo Thinkpad X250 i5 Gen 5 RAM 4 GB SSD 128 GB BERGARANSI - X250 i5.5, 4/128",Rp 1.800.000,5.0,,Terjual 50+
"Laptop Lenovo Thinkpad T480 & T480S Core i5 gen 8/ i7 gen 8 BERGARANSI - T480 TS i5Gen8, RAM 8 SSD 256",Rp 3.800.000,5.0,,Terjual 250+
"Asus Vivobook Go 14 E1404FA AMD Ryzen 3-7320U 8GB 512GB R610M W11 OHS - 256SSD HITAM, NON BUNDLING",Rp6.499.000,5.0,Jakarta Utara,Terjual 7
Laptop Toshiba Dynabook R64 Core i5 Gen 6 - 8GB - SSD - Full HD IPS,Rp3.250.000,5.0,Jakarta Barat,Terjual 1
LENOVO IDEAPAD 5 14ALC05 FXID R5-5500U 8GB 512GB SSD FHD IPS WIN11 OHS,Rp8.349.000,5.0,Jakarta Pusat,Terjual 2
Apple Macbook PRO 2022 M2 Chip 13 inch RAM 16GB 256GB 512GB 1TB SSD,Rp18.574.990,5.0,Jakarta Pusat,Terjual 500+
Lenovo Ideapad Slim 1 Celeron N4020 256GB SSD 8GB Win11+OHS,Rp4.499.000,5.0,Tangerang,Terjual 40+
"MacBook Air M2 2022 13.6"" 256GB 512GB Midnight Starlight Gray Silver",Rp17.099.999,5.0,Surabaya,Terjual 100+
"Apple Macbook Air M2 2022 13,6 inch - Garansi Resmi iBox Apple Indo",Rp17.654.000,5.0,Jakarta Utara,Terjual 100+
HP EliteBook X360 1030 G2 i7 16GB RAM 512GB Touchscreen windows tablet,Rp100.000,5.0,Jakarta Barat,Terjual 100+
Laptop Lenovo Thinkpad X250 i5 5300u 4GB 500GB Win 10 Dual Battery,Rp2.499.000,5.0,Jakarta Barat,Terjual 100+
"ASUS VivoBook Ultra 15 OLED K513EA I5-1135G7 8G 256G 15.6""OLED W10 OHS",Rp9.729.000,4.8,Jakarta Utara,Terjual 250+
